nameLong	nameShort
enityId	enityId
entityName	entityName
Adipose_Subcutaneous	Adipose
Brain_Caudate_basal_ganglia	Brain
Uterus	Uterus
Whole_Blood	Whole
Brain_Nucleus_accumbens_basal_ganglia	Brain
Brain_Anterior_cingulate_cortex_BA24	Brain
Brain_Substantia_nigra	Brain
Brain_Nucleus_accumbens_basal_ganglia	Brain
Brain_Substantia_nigra	Brain
Brain_Cerebellar_Hemisphere	Brain
Muscle_Skeletal	Muscle
Brain_Anterior_cingulate_cortex_BA24	Brain
Heart_Left_Ventricle	Heart
Brain_Frontal_Cortex_BA9	Brain
Brain_Hypothalamus	Brain
Brain_Frontal_Cortex_BA9	Brain
Adrenal_Gland	Adrenal
Brain_Hypothalamus	Brain
Whole_Blood	Whole
Skin_Sun_Exposed_Lower_leg	Skin
Brain_Substantia_nigra	Brain
Stomach	Stomach
Vagina	Vagina
Whole_Blood	Whole
Brain_Hippocampus	Brain
Brain_Caudate_basal_ganglia	Brain
Brain_Substantia_nigra	Brain
Brain_Cerebellar_Hemisphere	Brain
Brain_Nucleus_accumbens_basal_ganglia	Brain
Brain_Amygdala	Brain
Esophagus_Muscularis	Esophagus
Brain_Anterior_cingulate_cortex_BA24	Brain
Brain_Nucleus_accumbens_basal_ganglia	Brain
Brain_Caudate_basal_ganglia	Brain
Lung	Lung
Brain_Cerebellum	Brain
Heart_Left_Ventricle	Heart
Brain_Putamen_basal_ganglia	Brain
Brain_Substantia_nigra	Brain
Nerve_Tibial	Nerve
Brain_Frontal_Cortex_BA9	Brain
Pituitary	Pituitary
Lung	Lung
Brain_Amygdala	Brain
Brain_Hypothalamus	Brain
Brain_Frontal_Cortex_BA9	Brain
Testis	Testis
Brain_Caudate_basal_ganglia	Brain
Brain_Cerebellar_Hemisphere	Brain
Thyroid	Thyroid
Brain_Spinal_cord_cervical_c_1	Brain
Nerve_Tibial	Nerve
Brain_Frontal_Cortex_BA9	Brain
Whole_Blood	Whole
Pancreas	Pancreas
Brain_Amygdala	Brain
Brain_Hippocampus	Brain
Brain_Amygdala	Brain
Heart_Left_Ventricle	Heart
Colon_Transverse	Colon
Brain_Cerebellar_Hemisphere	Brain
Lung	Lung
Muscle_Skeletal	Muscle
Artery_Aorta	Artery
Brain_Cerebellar_Hemisphere	Brain
Brain_Cerebellum	Brain
Prostate	Prostate
Artery_Tibial	Artery
Brain_Amygdala	Brain
Brain_Anterior_cingulate_cortex_BA24	Brain
Brain_Spinal_cord_cervical_c_1	Brain
Whole_Blood	Whole
Brain_Putamen_basal_ganglia	Brain
Esophagus_Mucosa	Esophagus
Thyroid	Thyroid
Brain_Hippocampus	Brain
Kidney_Cortex	Kidney
Pancreas	Pancreas
Brain_Cerebellum	Brain
Artery_Tibial	Artery
Brain_Cortex	Brain
Pituitary	Pituitary
Pituitary	Pituitary
Esophagus_Muscularis	Esophagus
Brain_Caudate_basal_ganglia	Brain
Whole_Blood	Whole
Brain_Amygdala	Brain
Brain_Frontal_Cortex_BA9	Brain
Artery_Aorta	Artery
Brain_Nucleus_accumbens_basal_ganglia	Brain
Brain_Nucleus_accumbens_basal_ganglia	Brain
Brain_Putamen_basal_ganglia	Brain
Testis	Testis
Brain_Caudate_basal_ganglia	Brain
Brain_Hypothalamus	Brain
Artery_Coronary	Artery
Brain_Substantia_nigra	Brain
Whole_Blood	Whole
